description,amount,is_recurring,source,month,account_type,debit_credit
retained earnings transfer reference 45864,467780.3,0,Bank,7,equity,debit
tax payable recorded reference 93933,132725.99,0,Manual,6,liability,credit
retained earnings transfer reference 27693,430206.36,0,PDF,5,equity,credit
office electricity bill reference 14566,207770.87,0,Bank,8,expense,debit
insurance expense reference 51130,275945.06,0,Excel,8,expense,debit
inventory purchase for stock reference 24885,111577.34,0,CSV,3,asset,debit
loan repayment liability reference 26269,376772.83,0,Manual,2,liability,credit
owner investment into business reference 25489,327670.54,1,Manual,8,equity,credit
retained earnings transfer reference 69959,413490.25,0,CSV,3,equity,credit
capital introduced by shareholder reference 29585,184152.49,0,Excel,8,equity,credit
business loan received reference 58336,137981.05,1,Bank,3,liability,credit
office electricity bill reference 40175,442855.71,0,CSV,9,expense,debit
loan repayment liability reference 74861,2359.08,0,Manual,7,liability,credit
software subscription expense reference 55963,324455.98,1,PDF,11,expense,debit
security deposit paid reference 40065,416855.84,0,Manual,10,asset,debit
prepaid insurance reference 16277,61099.79,0,Bank,2,asset,debit
courier and postage expense reference 17709,301073.19,0,Manual,5,expense,debit
subscription revenue reference 85226,38032.13,0,CSV,12,revenue,credit
inventory purchase for stock reference 44117,493026.2,0,PDF,11,asset,debit
accounts payable recorded reference 19995,327018.55,0,PDF,4,liability,credit
product sales receipt reference 33296,218489.94,0,CSV,5,revenue,credit
sales collection reference 62703,390842.19,0,CSV,1,revenue,credit
sales revenue from customer invoice reference 61933,200116.72,0,Manual,9,revenue,credit
client payment for consulting services reference 54216,352376.91,1,Manual,10,revenue,debit
purchase of office laptop reference 92430,308939.89,0,CSV,12,asset,debit
inventory purchase for stock reference 53386,460943.96,0,CSV,3,asset,debit
owner investment into business reference 10061,453052.94,1,CSV,3,equity,credit
software subscription expense reference 63465,282339.62,1,CSV,6,expense,debit
software subscription expense reference 15691,404055.25,0,Manual,6,expense,debit
business loan received reference 30101,385714.43,0,CSV,1,liability,credit
salary payable recorded reference 49942,33167.09,0,Manual,2,liability,credit
customer invoice settlement reference 14799,470205.53,0,Bank,7,revenue,credit
salary payable recorded reference 14548,69891.45,0,Bank,3,liability,credit
owner investment into business reference 66030,454737.17,0,Manual,3,equity,credit
client payment for consulting services reference 62571,159226.84,0,CSV,2,revenue,credit
supplier payable created reference 92714,202025.21,0,Bank,12,liability,credit
client payment for consulting services reference 13440,67517.32,0,CSV,10,revenue,credit
owner withdrawal against equity reference 65216,260917.32,0,Bank,8,equity,credit
customer invoice settlement reference 38625,173434.12,0,Manual,8,revenue,credit
maintenance and repair expense reference 33502,343371.21,0,Manual,2,expense,debit
shareholder contribution reference 82904,198059.33,0,Manual,8,equity,credit
service revenue received reference 14273,18907.34,0,Manual,12,revenue,credit
customer invoice settlement reference 11299,78219.98,0,Bank,4,revenue,credit
supplier payable created reference 15997,365389.8,0,Excel,5,liability,credit
consulting income received reference 35138,223763.51,0,Excel,7,revenue,credit
office supplies purchase reference 96867,376593.54,1,CSV,6,expense,credit
gst payable recorded reference 85641,62887.48,0,Manual,5,liability,credit
product sales receipt reference 23589,456760.11,0,Manual,10,revenue,credit
owner investment into business reference 93152,380280.97,0,Excel,10,equity,credit
subscription revenue reference 65812,319786.72,0,Excel,1,revenue,debit
shareholder contribution reference 57198,360564.51,0,PDF,10,equity,credit
short term borrowing reference 90538,83917.96,1,PDF,11,liability,credit
equipment acquisition reference 28885,15902.96,0,Bank,11,asset,debit
loan repayment liability reference 72086,265625.79,0,Manual,1,liability,credit
subscription revenue reference 52567,45620.68,0,Excel,5,revenue,credit
business loan received reference 47573,388011.74,0,Excel,11,liability,credit
equipment acquisition reference 61053,196337.14,0,Manual,12,asset,debit
service revenue received reference 16465,110455.47,0,Bank,12,revenue,debit
shareholder contribution reference 25604,56940.99,0,PDF,10,equity,credit
short term borrowing reference 58206,132502.43,0,Excel,12,liability,credit
maintenance and repair expense reference 85368,183251.37,0,PDF,8,expense,debit
additional equity contribution reference 32081,119251.77,0,Bank,2,equity,credit
owner withdrawal against equity reference 46612,496778.2,1,Manual,1,equity,credit
subscription revenue reference 99893,306951.48,0,Manual,11,revenue,credit
subscription revenue reference 94264,453497.76,0,PDF,7,revenue,credit
professional fees reference 42760,460083.8,1,Excel,2,expense,debit
sales revenue from customer invoice reference 48287,479533.68,0,PDF,9,revenue,credit
office electricity bill reference 80492,211371.19,0,Manual,4,expense,debit
owner capital introduced reference 27742,397550.5,1,CSV,7,equity,credit
professional fees reference 73960,485972.42,1,CSV,3,expense,credit
prepaid insurance reference 66399,460717.55,0,PDF,11,asset,credit
office furniture purchase reference 42920,141769.74,0,PDF,6,asset,debit
software subscription expense reference 16447,372269.74,0,Bank,4,expense,debit
supplier payable created reference 22619,198493.06,0,Excel,2,liability,debit
owner capital introduced reference 94584,96194.4,1,PDF,9,equity,credit
sales collection reference 62354,11350.87,0,Bank,2,revenue,credit
additional equity contribution reference 92108,410099.73,0,Bank,5,equity,credit
sales collection reference 30246,369552.1,0,PDF,4,revenue,credit
subscription revenue reference 70751,70516.79,1,Excel,8,revenue,credit
sales revenue from customer invoice reference 52559,327729.39,1,Manual,12,revenue,credit
office electricity bill reference 18542,407767.97,0,CSV,1,expense,debit
purchase of computer equipment reference 85524,329706.32,1,CSV,12,asset,debit
subscription revenue reference 43003,42204.44,0,Excel,12,revenue,credit
accounts receivable created reference 89595,179894.97,0,Excel,5,asset,debit
service revenue received reference 31204,101055.94,0,Manual,7,revenue,credit
sales revenue from customer invoice reference 75713,494101.96,0,Bank,5,revenue,credit
software subscription expense reference 23453,21036.59,0,Bank,11,expense,credit
inventory purchase for stock reference 17246,430318.34,0,Manual,7,asset,credit
capital introduced by shareholder reference 79939,32806.33,0,CSV,5,equity,credit
subscription revenue reference 81859,134930.69,0,PDF,7,revenue,credit
client payment for consulting services reference 81473,112623.31,0,Manual,9,revenue,credit
office supplies purchase reference 41401,199335.72,0,Manual,9,expense,debit
vendor credit purchase reference 40088,244966.28,0,Bank,9,liability,credit
salary payable recorded reference 69219,317507.92,0,CSV,9,liability,credit
inventory purchase for stock reference 64168,361414.33,0,PDF,1,asset,debit
owner investment into business reference 35756,373532.6,0,Excel,5,equity,credit
inventory purchase for stock reference 27743,338237.14,0,Manual,2,asset,debit
sales collection reference 44588,354355.86,1,Bank,4,revenue,credit
courier and postage expense reference 19352,266074.82,0,Bank,6,expense,debit
accounts payable recorded reference 77701,197451.72,0,CSV,3,liability,credit
courier and postage expense reference 65860,416248.2,0,CSV,8,expense,debit
capital introduced by shareholder reference 79752,165700.78,0,Manual,2,equity,credit
retained earnings transfer reference 69215,215856.66,1,Manual,8,equity,credit
short term borrowing reference 15388,263884.62,0,CSV,7,liability,credit
inventory purchase for stock reference 12907,133480.44,0,Excel,5,asset,credit
office furniture purchase reference 17029,360084.62,0,PDF,10,asset,debit
purchase of office laptop reference 99742,125105.95,0,Manual,4,asset,debit
office furniture purchase reference 29722,178636.26,0,CSV,1,asset,debit
tax payable recorded reference 62373,470188.23,1,CSV,11,liability,credit
prepaid insurance reference 41467,232334.43,0,Excel,1,asset,debit
courier and postage expense reference 84412,287319.18,0,Bank,12,expense,debit
customer invoice settlement reference 68775,254940.25,1,Excel,2,revenue,credit
vendor credit purchase reference 69056,378539.03,0,Bank,5,liability,credit
supplier payable created reference 75268,112645.14,0,PDF,10,liability,credit
loan repayment liability reference 32741,226861.64,1,PDF,12,liability,credit
professional fees reference 71803,44905.38,0,Excel,4,expense,debit
office furniture purchase reference 73515,201817.01,1,CSV,7,asset,debit
salary payable recorded reference 56693,299283.78,1,CSV,1,liability,credit
additional equity contribution reference 97366,181653.68,0,Excel,10,equity,credit
sales revenue from customer invoice reference 23782,250551.81,1,Excel,12,revenue,credit
office furniture purchase reference 74478,226139.64,1,Manual,6,asset,debit
insurance expense reference 88191,172406.08,0,Manual,8,expense,debit
consulting income received reference 76939,166456.14,0,Excel,8,revenue,credit
owner investment into business reference 88189,314017.58,0,PDF,3,equity,credit
sales revenue from customer invoice reference 17138,348210.12,1,Bank,6,revenue,credit
client payment for consulting services reference 26059,100171.23,0,Manual,11,revenue,credit
office furniture purchase reference 68495,399783.38,0,Bank,8,asset,debit
client payment for consulting services reference 78211,413392.44,0,Bank,5,revenue,credit
equipment acquisition reference 25528,69822.37,0,PDF,9,asset,debit
loan repayment liability reference 18363,450369.74,1,Excel,3,liability,credit
employee salary payment reference 45991,492902.88,0,Excel,1,expense,debit
loan repayment liability reference 56168,34202.75,0,PDF,10,liability,credit
vehicle purchase for business reference 16182,135028.25,0,Excel,7,asset,debit
internet and telecom bill reference 71361,307341.63,1,Manual,10,expense,debit
equipment acquisition reference 35516,76212.12,0,Excel,12,asset,debit
shareholder contribution reference 94863,35035.09,1,Bank,5,equity,credit
salary payable recorded reference 92685,454114.29,1,Excel,12,liability,credit
shareholder contribution reference 57584,433209.82,0,CSV,11,equity,credit
purchase of computer equipment reference 23301,423873.83,0,Excel,7,asset,debit
short term borrowing reference 89464,106213.29,1,CSV,4,liability,credit
capital introduced by shareholder reference 13221,313193.32,0,Bank,10,equity,credit
accounts receivable created reference 84824,200947.65,0,Excel,4,asset,debit
owner withdrawal against equity reference 90212,234203.1,0,Manual,7,equity,debit
owner withdrawal against equity reference 26185,254456.43,0,Bank,8,equity,credit
shareholder contribution reference 28653,336858.42,0,CSV,9,equity,credit
purchase of computer equipment reference 49359,264246.22,0,Manual,8,asset,debit
retained earnings transfer reference 53461,174649.39,0,PDF,5,equity,credit
purchase of machinery reference 58563,411285.49,1,Excel,8,asset,credit
subscription revenue reference 78534,461408.18,0,PDF,8,revenue,debit
sales collection reference 79527,459675.0,0,CSV,6,revenue,credit
office supplies purchase reference 92711,446346.74,0,PDF,6,expense,debit
owner capital introduced reference 20065,177527.21,1,Excel,10,equity,credit
professional fees reference 38052,105235.46,1,CSV,8,expense,debit
employee salary payment reference 86213,381890.86,0,Manual,3,expense,debit
subscription revenue reference 99272,87349.33,0,PDF,5,revenue,credit
client payment for consulting services reference 77236,186085.83,1,Bank,3,revenue,credit
professional fees reference 28243,373267.8,1,PDF,4,expense,debit
courier and postage expense reference 38783,197808.12,0,CSV,3,expense,debit
gst payable recorded reference 90657,24991.09,1,Bank,9,liability,credit
equipment acquisition reference 77559,355649.48,1,CSV,3,asset,debit
marketing campaign expense reference 45781,470053.44,0,Excel,3,expense,debit
salary payable recorded reference 96003,251458.37,0,Bank,7,liability,credit
owner investment into business reference 78341,354845.96,0,Excel,9,equity,credit
vehicle purchase for business reference 28120,299143.71,1,Manual,4,asset,debit
subscription revenue reference 84180,275640.42,0,PDF,1,revenue,credit
loan repayment liability reference 11312,79118.38,0,Excel,8,liability,credit
security deposit paid reference 84010,133428.31,0,Excel,8,asset,debit
short term borrowing reference 47474,498623.88,0,CSV,12,liability,credit
client payment for consulting services reference 99893,112360.86,0,CSV,4,revenue,credit
vendor credit purchase reference 75498,145241.53,0,PDF,5,liability,credit
purchase of computer equipment reference 28277,174263.05,0,Manual,7,asset,debit
inventory purchase for stock reference 87741,92266.16,1,PDF,11,asset,debit
purchase of machinery reference 28949,69360.83,0,CSV,2,asset,debit
capital introduced by shareholder reference 67331,100450.39,1,Excel,4,equity,credit
supplier payable created reference 78939,196863.78,0,PDF,3,liability,debit
office electricity bill reference 80847,162904.76,0,CSV,8,expense,debit
office electricity bill reference 95339,82809.32,0,CSV,4,expense,debit
service revenue received reference 77148,384990.21,0,CSV,1,revenue,credit
shareholder contribution reference 78913,368435.37,0,Manual,5,equity,credit
owner investment into business reference 94054,81904.99,1,PDF,3,equity,credit
salary payable recorded reference 58268,66480.04,0,Manual,6,liability,credit
shareholder contribution reference 22116,103105.55,1,CSV,7,equity,credit
short term borrowing reference 63261,466632.34,0,Bank,9,liability,credit
shareholder contribution reference 41367,331580.36,1,Manual,10,equity,credit
subscription revenue reference 90673,191663.92,0,Manual,3,revenue,credit
capital introduced by shareholder reference 55392,287071.89,0,CSV,9,equity,credit
service revenue received reference 99211,129179.9,1,Excel,2,revenue,credit
sales revenue from customer invoice reference 94004,468484.82,0,PDF,8,revenue,credit
purchase of machinery reference 45809,128383.74,0,Excel,9,asset,credit
owner capital introduced reference 20004,36577.03,0,Manual,10,equity,credit
share capital contribution reference 35838,186308.03,0,PDF,1,equity,credit
office electricity bill reference 60932,458264.83,0,PDF,3,expense,debit
service revenue received reference 67023,457673.0,0,Bank,7,revenue,credit
employee salary payment reference 72509,98002.81,0,PDF,5,expense,debit
owner investment into business reference 91612,331981.56,0,Manual,12,equity,debit
purchase of office laptop reference 66303,352319.46,1,PDF,3,asset,debit
gst payable recorded reference 78542,270627.1,0,PDF,2,liability,debit
business loan received reference 84672,277185.67,0,Bank,3,liability,credit
purchase of machinery reference 19224,487962.32,1,Bank,10,asset,debit
business loan received reference 65546,243674.66,0,CSV,3,liability,credit
internet and telecom bill reference 99208,309587.88,1,Manual,12,expense,debit
supplier payable created reference 84698,170167.79,0,Manual,9,liability,credit
courier and postage expense reference 69762,65759.48,1,PDF,4,expense,credit
maintenance and repair expense reference 86307,414202.53,0,CSV,8,expense,debit
office supplies purchase reference 18776,154859.14,0,PDF,4,expense,debit
accounts receivable created reference 74394,457162.89,0,Manual,3,asset,debit
sales collection reference 24018,267681.63,0,Manual,7,revenue,credit
accounts payable recorded reference 55899,483562.99,1,Excel,1,liability,credit
business loan received reference 23669,404785.74,0,Manual,12,liability,credit
short term borrowing reference 85682,33051.19,0,CSV,11,liability,credit
client payment for consulting services reference 50330,401035.03,0,PDF,1,revenue,credit
owner withdrawal against equity reference 91822,95586.72,0,Bank,2,equity,credit
office supplies purchase reference 91217,2662.87,0,Manual,10,expense,debit
purchase of office laptop reference 75002,62089.75,0,Manual,4,asset,debit
business loan received reference 27313,144787.05,0,CSV,5,liability,credit
vendor credit purchase reference 63464,85486.78,0,Manual,2,liability,credit
vehicle purchase for business reference 86882,291634.84,1,CSV,1,asset,debit
owner capital introduced reference 20104,67039.82,0,Manual,12,equity,credit
tax payable recorded reference 71128,204244.75,0,Excel,9,liability,credit
prepaid insurance reference 71679,388630.9,0,PDF,4,asset,debit
purchase of machinery reference 59047,252815.63,0,Excel,1,asset,debit
purchase of machinery reference 14586,360119.48,0,Manual,11,asset,debit
office supplies purchase reference 82430,443299.92,0,Bank,5,expense,debit
salary payable recorded reference 24540,465685.28,0,PDF,8,liability,credit
inventory purchase for stock reference 92861,358398.43,0,Manual,6,asset,debit
product sales receipt reference 18727,422975.58,0,Excel,7,revenue,credit
purchase of computer equipment reference 79558,269515.64,1,Excel,3,asset,debit
purchase of office laptop reference 60540,154126.97,0,Manual,2,asset,debit
office electricity bill reference 87386,57665.27,0,Manual,7,expense,debit
subscription revenue reference 95031,222910.1,0,Bank,11,revenue,debit
sales collection reference 66627,299074.17,1,Bank,1,revenue,credit
subscription revenue reference 77605,395605.04,0,Excel,7,revenue,credit
retained earnings transfer reference 23027,374207.53,0,Excel,11,equity,debit
owner investment into business reference 88691,465865.04,0,Manual,11,equity,credit
subscription revenue reference 14574,490702.86,0,Excel,11,revenue,credit
sales collection reference 17898,57452.59,0,PDF,12,revenue,credit
gst payable recorded reference 36781,477236.05,0,Bank,12,liability,credit
office electricity bill reference 37739,317870.64,0,PDF,2,expense,debit
loan repayment liability reference 42345,294521.28,0,CSV,11,liability,credit
internet and telecom bill reference 71458,62159.46,1,CSV,2,expense,debit
employee salary payment reference 81456,260263.56,1,Manual,4,expense,debit
monthly office rent reference 51695,372452.96,0,Bank,2,expense,debit
share capital contribution reference 78915,353152.18,0,Bank,3,equity,credit
additional equity contribution reference 30223,201518.22,0,Bank,5,equity,credit
loan repayment liability reference 50602,389290.79,0,Manual,9,liability,credit
office supplies purchase reference 53692,253967.36,0,PDF,5,expense,debit
purchase of office laptop reference 47546,426313.07,0,Excel,9,asset,debit
insurance expense reference 73695,413668.52,0,Bank,2,expense,debit
sales collection reference 28262,455979.86,0,Bank,2,revenue,credit
accounts receivable created reference 30792,438104.46,0,PDF,7,asset,debit
sales collection reference 92194,70457.67,0,Manual,10,revenue,credit
sales revenue from customer invoice reference 40323,117069.16,0,Excel,3,revenue,credit
prepaid insurance reference 92312,345229.03,1,PDF,12,asset,debit
owner investment into business reference 29761,481744.87,0,CSV,4,equity,credit
purchase of computer equipment reference 16762,130355.38,0,Manual,10,asset,debit
sales revenue from customer invoice reference 18104,333275.47,0,PDF,2,revenue,credit
retained earnings transfer reference 96905,363979.94,0,CSV,8,equity,credit
internet and telecom bill reference 12855,369499.49,1,Bank,11,expense,debit
tax payable recorded reference 53331,140186.51,0,PDF,5,liability,credit
capital introduced by shareholder reference 36910,480294.95,0,Manual,2,equity,credit
short term borrowing reference 37006,126315.85,1,PDF,5,liability,credit
inventory purchase for stock reference 25405,349787.37,0,PDF,3,asset,debit
accounts payable recorded reference 78012,413403.56,1,Excel,5,liability,credit
shareholder contribution reference 58862,177582.75,0,CSV,11,equity,credit
client payment for consulting services reference 34563,223875.88,0,Excel,4,revenue,credit
business loan received reference 16317,349931.02,0,Manual,2,liability,credit
customer invoice settlement reference 35324,147150.08,0,Bank,7,revenue,credit
product sales receipt reference 26665,281304.28,1,Excel,8,revenue,debit
courier and postage expense reference 75191,322073.27,0,Manual,1,expense,debit
service revenue received reference 87230,2747.81,0,CSV,9,revenue,credit
client payment for consulting services reference 75420,352779.64,0,CSV,1,revenue,credit
tax payable recorded reference 75239,55936.36,0,Manual,4,liability,credit
vendor credit purchase reference 92210,480204.43,0,Bank,10,liability,credit
accounts receivable created reference 45154,498407.99,1,CSV,2,asset,debit
prepaid insurance reference 62191,35464.68,0,Bank,1,asset,debit
tax payable recorded reference 12198,14115.98,1,Bank,10,liability,credit
customer invoice settlement reference 51805,209728.57,0,Excel,12,revenue,credit
insurance expense reference 85838,321331.59,0,PDF,3,expense,debit
vehicle purchase for business reference 36476,400151.4,0,Manual,8,asset,debit
share capital contribution reference 97570,473110.42,0,PDF,10,equity,credit
consulting income received reference 96504,52846.45,0,Excel,4,revenue,credit
tax payable recorded reference 68833,413212.16,0,Manual,8,liability,credit
short term borrowing reference 78096,117504.74,0,CSV,10,liability,credit
consulting income received reference 99536,431868.23,1,Manual,4,revenue,credit
marketing campaign expense reference 73932,298182.28,0,Manual,8,expense,credit
insurance expense reference 45411,122883.79,0,Excel,1,expense,debit
retained earnings transfer reference 26259,207425.21,1,CSV,6,equity,credit
subscription revenue reference 45307,51136.85,0,Bank,8,revenue,credit
office furniture purchase reference 70031,40315.66,0,Excel,1,asset,debit
shareholder contribution reference 55113,481449.58,0,Manual,9,equity,credit
owner withdrawal against equity reference 33345,343940.17,0,Manual,12,equity,credit
vendor credit purchase reference 60023,60428.02,0,Excel,11,liability,debit
vehicle purchase for business reference 32940,273845.5,0,CSV,2,asset,debit
owner capital introduced reference 62952,83493.24,1,Bank,1,equity,credit
salary payable recorded reference 39142,363768.73,1,PDF,2,liability,credit
maintenance and repair expense reference 48168,119923.87,0,Manual,3,expense,debit
sales revenue from customer invoice reference 19251,237773.71,0,PDF,3,revenue,credit
accounts payable recorded reference 70477,410244.22,1,Bank,2,liability,credit
sales collection reference 99207,469792.76,1,Manual,5,revenue,credit
supplier payable created reference 69652,43116.83,0,Bank,11,liability,credit
vehicle purchase for business reference 72969,304315.15,0,PDF,3,asset,debit
customer invoice settlement reference 88307,441101.46,1,Manual,7,revenue,credit
vehicle purchase for business reference 14523,423583.78,0,Manual,2,asset,debit
consulting income received reference 80404,468813.85,0,Bank,1,revenue,credit
accounts receivable created reference 13827,244187.51,1,Excel,10,asset,credit
vendor credit purchase reference 57946,347413.36,0,CSV,4,liability,credit
product sales receipt reference 32968,16104.87,0,PDF,6,revenue,credit
business travel expense reference 76190,362580.46,0,CSV,1,expense,debit
monthly office rent reference 28087,391125.45,0,Manual,8,expense,debit
retained earnings transfer reference 63889,375015.15,0,CSV,10,equity,credit
sales collection reference 37085,244547.73,0,CSV,12,revenue,credit
business travel expense reference 35193,334556.41,1,Excel,1,expense,debit
equipment acquisition reference 23229,226469.53,0,Bank,11,asset,debit
owner investment into business reference 37710,175132.35,0,PDF,7,equity,credit
purchase of computer equipment reference 41129,329509.31,0,Excel,7,asset,debit
business travel expense reference 78889,424181.16,1,CSV,6,expense,debit
insurance expense reference 42053,425072.16,0,CSV,9,expense,debit
service revenue received reference 59738,120285.37,0,PDF,8,revenue,credit
product sales receipt reference 73434,241727.73,0,Manual,5,revenue,credit
retained earnings transfer reference 94503,191630.05,1,Manual,12,equity,debit
equipment acquisition reference 41989,356100.81,1,CSV,7,asset,debit
internet and telecom bill reference 70641,280740.03,0,CSV,1,expense,debit
purchase of computer equipment reference 26865,3473.6,0,Excel,1,asset,debit
inventory purchase for stock reference 93972,111036.49,0,CSV,8,asset,debit
purchase of office laptop reference 35498,10896.26,0,Bank,8,asset,debit
prepaid insurance reference 56182,224271.46,1,Manual,5,asset,credit
gst payable recorded reference 31184,248433.96,0,PDF,7,liability,credit
software subscription expense reference 37294,498907.86,0,CSV,11,expense,debit
owner withdrawal against equity reference 86282,288765.7,0,PDF,2,equity,credit
monthly office rent reference 66388,234568.17,0,CSV,1,expense,credit
retained earnings transfer reference 37318,48205.3,0,PDF,2,equity,credit
sales revenue from customer invoice reference 37131,69380.84,0,Excel,2,revenue,credit
maintenance and repair expense reference 94991,332633.3,0,Manual,8,expense,credit
consulting income received reference 66055,424806.18,0,Excel,3,revenue,credit
retained earnings transfer reference 81184,488714.0,0,CSV,2,equity,debit
short term borrowing reference 30046,130749.41,0,Excel,7,liability,credit
owner withdrawal against equity reference 23421,426279.2,1,PDF,10,equity,credit
insurance expense reference 95502,1729.51,0,PDF,5,expense,debit
accounts receivable created reference 59680,61843.9,0,Excel,6,asset,debit
gst payable recorded reference 77047,79446.2,1,Excel,7,liability,credit
retained earnings transfer reference 70450,412140.17,0,Excel,10,equity,credit
vendor credit purchase reference 75236,152654.09,0,Manual,9,liability,credit
accounts receivable created reference 38263,336013.94,0,Bank,9,asset,debit
accounts receivable created reference 67064,373884.89,0,PDF,4,asset,debit
purchase of computer equipment reference 48386,357950.01,1,Excel,10,asset,debit
vendor credit purchase reference 71886,91891.53,0,Manual,5,liability,credit
internet and telecom bill reference 60586,4393.15,1,Bank,5,expense,credit
product sales receipt reference 72583,27119.28,0,CSV,6,revenue,credit
shareholder contribution reference 32657,259044.23,0,Manual,1,equity,credit
internet and telecom bill reference 69914,369878.77,0,CSV,7,expense,credit
security deposit paid reference 66103,240995.18,0,PDF,6,asset,debit
service revenue received reference 63207,218411.54,0,Bank,10,revenue,credit
equipment acquisition reference 35251,192092.02,0,Bank,12,asset,debit
tax payable recorded reference 51778,424100.26,0,CSV,4,liability,credit
sales collection reference 23300,468095.67,0,PDF,5,revenue,credit
insurance expense reference 14689,227082.22,0,Excel,9,expense,debit
security deposit paid reference 30919,235441.77,0,PDF,10,asset,debit
client payment for consulting services reference 69060,17572.62,0,PDF,10,revenue,credit
accounts receivable created reference 14658,388080.95,0,Excel,7,asset,debit
retained earnings transfer reference 10395,321514.96,0,Manual,10,equity,credit
capital introduced by shareholder reference 77545,222535.3,0,Excel,11,equity,credit
owner withdrawal against equity reference 80715,347247.62,1,Manual,12,equity,credit
accounts payable recorded reference 98621,272478.59,1,Excel,2,liability,credit
client payment for consulting services reference 10347,363914.75,0,CSV,12,revenue,credit
sales revenue from customer invoice reference 60977,275678.93,0,CSV,9,revenue,credit
service revenue received reference 37441,259591.51,0,CSV,8,revenue,credit
internet and telecom bill reference 85855,341542.01,1,CSV,7,expense,debit
service revenue received reference 86090,54972.63,0,Manual,5,revenue,debit
software subscription expense reference 12390,166989.56,0,Excel,7,expense,debit
security deposit paid reference 88277,188161.14,0,Bank,6,asset,debit
accounts receivable created reference 10740,290321.45,0,Excel,8,asset,debit
customer invoice settlement reference 27914,90251.17,0,Bank,9,revenue,credit
internet and telecom bill reference 56736,18124.36,0,Manual,12,expense,debit
customer invoice settlement reference 73490,59587.66,0,Manual,9,revenue,credit
maintenance and repair expense reference 16012,242245.51,0,PDF,3,expense,debit
gst payable recorded reference 72176,49788.23,0,PDF,11,liability,credit
security deposit paid reference 24523,488799.32,1,Excel,1,asset,debit
sales revenue from customer invoice reference 55446,226786.54,0,PDF,10,revenue,credit
owner investment into business reference 67739,37438.38,0,CSV,10,equity,credit
vendor credit purchase reference 93251,219545.31,1,CSV,8,liability,credit
owner capital introduced reference 94993,340374.29,0,Bank,9,equity,credit
loan repayment liability reference 14890,84786.01,0,Manual,2,liability,credit
owner withdrawal against equity reference 22267,348125.38,0,CSV,10,equity,credit
additional equity contribution reference 21521,130498.62,0,Bank,5,equity,credit
supplier payable created reference 72245,452674.11,0,Excel,9,liability,credit
customer invoice settlement reference 28838,357758.8,0,CSV,7,revenue,credit
marketing campaign expense reference 18728,107483.32,0,Manual,2,expense,debit
retained earnings transfer reference 32689,345706.39,0,CSV,7,equity,credit
courier and postage expense reference 99543,215227.54,0,Bank,2,expense,debit
office supplies purchase reference 82830,348636.78,0,PDF,2,expense,debit
supplier payable created reference 65162,344032.93,1,Bank,6,liability,credit
purchase of machinery reference 12407,38485.24,0,PDF,9,asset,credit
owner investment into business reference 25236,8545.91,0,PDF,8,equity,credit
courier and postage expense reference 22416,426768.83,1,Excel,6,expense,credit
subscription revenue reference 79960,245105.02,0,Manual,6,revenue,debit
gst payable recorded reference 95356,321103.96,0,Manual,7,liability,credit
vehicle purchase for business reference 80695,436457.68,0,Excel,4,asset,debit
loan repayment liability reference 55784,368340.26,0,Bank,8,liability,credit
additional equity contribution reference 78556,131524.74,1,Manual,6,equity,credit
maintenance and repair expense reference 48351,168855.17,0,Excel,8,expense,debit
subscription revenue reference 81177,411029.42,0,Manual,7,revenue,credit
office electricity bill reference 44042,151354.5,0,Excel,12,expense,debit
share capital contribution reference 69840,381462.64,0,Bank,10,equity,credit
vendor credit purchase reference 12638,448878.45,0,Manual,10,liability,credit
short term borrowing reference 39424,54215.08,0,PDF,2,liability,credit
shareholder contribution reference 99249,402742.81,0,Excel,9,equity,credit
maintenance and repair expense reference 29947,59429.52,0,CSV,4,expense,debit
vehicle purchase for business reference 20944,375557.57,0,Excel,3,asset,credit
gst payable recorded reference 20249,425423.93,0,PDF,7,liability,credit
software subscription expense reference 93677,468069.71,0,Bank,7,expense,debit
tax payable recorded reference 55919,76991.57,1,CSV,11,liability,credit
client payment for consulting services reference 60458,442638.86,0,Manual,8,revenue,credit
prepaid insurance reference 77300,424761.43,0,PDF,12,asset,debit
client payment for consulting services reference 30251,140621.84,0,Excel,4,revenue,credit
sales collection reference 49814,376873.53,1,PDF,12,revenue,credit
share capital contribution reference 96816,250022.66,1,Bank,11,equity,credit
consulting income received reference 23130,40070.17,0,Excel,6,revenue,credit
purchase of machinery reference 58307,264158.48,0,Bank,9,asset,debit
owner capital introduced reference 59690,401324.87,1,Manual,2,equity,debit
vendor credit purchase reference 69500,109492.05,0,Bank,9,liability,credit
professional fees reference 44808,483689.51,0,PDF,2,expense,debit
short term borrowing reference 23003,462862.53,1,Excel,4,liability,credit
purchase of machinery reference 53407,125935.57,0,Bank,5,asset,debit
service revenue received reference 99155,353535.74,0,Manual,5,revenue,credit
service revenue received reference 38605,122867.94,1,Manual,7,revenue,credit
owner investment into business reference 76919,398667.76,0,Excel,1,equity,credit
capital introduced by shareholder reference 48708,385308.87,0,Bank,5,equity,credit
owner capital introduced reference 40622,106373.13,0,Excel,5,equity,credit
purchase of machinery reference 46293,56023.46,1,CSV,9,asset,credit
loan repayment liability reference 94135,423378.68,1,Bank,4,liability,credit
courier and postage expense reference 58194,156649.74,1,Bank,8,expense,debit
client payment for consulting services reference 97815,109742.76,0,PDF,12,revenue,debit
prepaid insurance reference 35162,178417.22,0,Bank,4,asset,debit
